n_components,C,f1_macro
100,1,0.8149607823286694
100,100,0.8072518654622175
250,1,0.8045835786786205
250,100,0.8135699503650962
450,1,0.8039492050902964
450,100,0.7997337998624364
500,1,0.8054481134785522
500,100,0.8038862815808939
750,1,0.802536971951183
750,100,0.8083895171339601
1000,1,0.8021721304731085
1000,100,0.8043565869641532
1500,1,0.7962488238642286
1500,100,0.805393396118212
2000,1,0.798615132046691
2000,100,0.8033739310023885
3000,1,0.7936838331466416
3000,100,0.8024082546410228
4000,1,0.790589033644179
4000,100,0.8013049808974441
5000,1,0.789412568755573
5000,100,0.8013646995645161
5745,1,0.788311864446401
5745,100,0.8023811203823743
