,precision,recall,f1-score,support
abiotic_disorder,0.8519,1.0,0.92,23.0
bacterial_disease,0.7868,0.7039,0.7431,304.0
downy_mildew,0.6923,0.75,0.72,36.0
fungal_downy_mildew,0.7015,0.8246,0.7581,114.0
fungal_leaf_disease,0.828,0.8,0.8137,770.0
fungal_powdery_mildew,0.9344,0.9096,0.9218,188.0
fungal_rot_fruit_disease,0.7108,0.7763,0.7421,152.0
fungal_rust,0.8746,0.8719,0.8732,320.0
fungal_scab,0.8182,0.9844,0.8936,64.0
fungal_systemic_smut_gall,0.757,0.8438,0.798,96.0
leaf_spot,0.8,0.642,0.7123,81.0
oomycete_lesion,0.7222,0.8667,0.7879,15.0
viral_disease,0.7665,0.8162,0.7906,185.0
accuracy,0.8101,0.8101,0.8101,0.8101
macro avg,0.788,0.8299,0.8057,2348.0
weighted avg,0.8123,0.8101,0.8097,2348.0
